ER53001,ER53002,ER53017,ER57482,ER58255
3,6805,38,3,2
3,6063,38,0,2
3,5928,35,5,4
3,6140,32,4,1
3,8371,25,1,4
3,6396,49,11,4
3,9069,39,2,4
3,2442,40,1,2
3,2507,29,1,1
3,2841,63,4,4
3,4492,22,2,4
3,4584,32,12,3
3,3765,59,0,1
3,6552,60,0,4
3,191,27,0,4
3,549,77,0,2
3,5767,52,5,1
3,2587,73,1,1
3,3206,57,0,3
3,4459,56,3,1
3,1748,53,0,1
3,3697,46,2,2
3,2520,41,2,1
3,1299,30,4,1
3,7334,26,8,4
3,8839,24,6,4
3,5145,29,4,1
3,7906,51,9,1
3,1015,83,3,2
3,1903,63,0,1
3,999,61,10,4
3,1341,24,4,4
3,4195,21,5,4
3,1389,74,1,3
3,1429,53,7,4
3,471,55,0,2
3,2816,37,0,4
3,938,35,4,3
3,8175,34,0,4
3,4687,88,1,4
3,1848,71,0,1
3,1186,46,2,1
3,1350,55,14,1
3,1325,49,0,3
3,3069,21,0,1
3,1866,74,0,2
3,7413,44,1,4
3,3022,40,2,2
3,4567,31,2,2
3,763,66,0,1
3,9023,36,4,1
3,8457,79,99,4
3,5298,60,0,1
3,5646,57,4,4
3,5069,67,0,1
3,7266,32,4,4
3,1151,29,2,1
3,2883,29,0,4
3,662,26,2,1
3,4901,57,0,1
3,2597,40,0,4
3,1443,37,0,4
3,8946,36,6,4
3,1451,30,4,2
3,1522,27,6,2
3,4475,44,0,2
3,1208,71,0,1
3,1943,71,0,4
3,6381,50,2,4
3,7949,34,6,4
3,1884,24,11,4
3,1816,60,0,2
3,4742,42,0,2
3,4925,23,1,2
3,6851,22,3,4
3,2653,19,6,2
3,4767,38,4,1
3,9058,23,0,2
3,7121,69,6,2
3,2681,50,0,4
3,5957,26,6,2
3,4448,48,10,1
3,4011,46,10,1
3,4157,42,0,4
3,2829,23,2,1
3,4342,60,7,2
3,4349,27,12,2
3,6057,25,7,2
3,1823,81,0,2
3,2960,57,6,4
3,2532,56,0,2
3,8157,35,4,2
3,7675,26,0,3
3,8709,37,0,1
3,1993,66,0,1
3,1928,38,4,4
3,658,27,2,1
3,705,62,2,4
3,1332,56,0,4
3,962,35,0,4
3,4610,34,4,1
3,2679,27,2,1
3,3313,34,6,2
3,4042,28,6,1
3,8,69,0,1
3,2912,26,0,2
3,262,47,3,4
3,2703,50,99,2
3,7365,31,11,4
3,415,79,2,2
3,3399,50,0,1
3,4965,28,2,1
3,684,57,1,1
3,4068,36,0,1
3,5065,21,0,4
3,4010,55,1,1
3,307,75,0,1
3,2826,49,3,1
3,5394,48,2,4
3,6591,34,6,4
3,3173,25,6,2
3,2747,58,6,4
3,1532,57,1,1
3,807,50,4,1
3,1906,42,2,3
3,1635,32,0,1
3,2471,61,4,4
3,2538,56,1,4
3,7977,50,1,4
3,8142,86,99,4
3,3277,58,0,1
