ER30001,ER30002,PCGID68,PCGPN,CDSHID,CHLDINST,PCGINST
2661,53,2661,203,1596,3,2
2661,59,2661,223,1599,3,2
2661,60,2661,223,1599,4,2
2664,33,2664,171,1601,3,1
2665,40,2665,185,1603,3,1
2671,30,2671,170,1604,3,2
2671,31,2671,170,1604,4,2
2673,32,2673,30,1605,3,1
2673,33,2673,30,1605,4,1
2674,33,2674,30,1606,3,2
2674,34,2674,30,1606,4,2
2679,31,2679,30,1607,3,2
2679,32,2679,30,1607,5,2
2679,33,2679,30,1607,6,2
2688,37,2688,32,1608,2,1
2688,38,2688,31,1609,2,1
2688,39,2688,31,1609,3,1
2688,40,2688,179,1611,4,2
2688,41,2688,179,1611,5,2
2688,42,2688,32,1608,3,1
2688,43,2688,31,1609,4,1
2688,44,2688,30,1610,2,1
2688,45,2688,179,1611,6,2
2688,180,2688,179,1611,3,2
2690,33,2690,30,1613,3,2
2690,34,2690,30,1613,4,2
2697,32,2697,3,1614,3,1
2699,33,2699,31,1616,3,2
2701,54,2701,34,1621,2,1
2701,55,2701,185,1618,8,3
2701,56,2701,10,1617,3,1
2701,57,2701,185,1618,2,3
2701,58,2701,10,1617,4,1
2701,59,2701,10,1617,5,1
2701,60,2701,253,1626,2,1
2701,62,2701,10,1617,6,1
2701,63,2701,40,1623,2,1
2701,64,2701,253,1626,4,1
2701,66,2701,190,1620,7,2
2701,67,2701,34,1621,3,1
2701,68,2701,40,1623,3,1
2701,69,2701,175,1625,2,1
2701,70,2701,261,1628,3,1
2701,71,2701,43,1630,2,1
2701,72,2701,185,1618,4,3
2701,73,2701,239,1631,2,1
2701,74,2701,239,1631,3,1
2701,75,2701,201,1632,2,1
2701,76,2701,185,1618,5,3
2701,77,2701,257,1624,2,1
2701,78,2701,43,1630,3,1
2701,79,2701,43,1630,4,1
2701,216,2701,185,1618,6,3
2701,217,2701,185,1618,7,3
2701,224,2701,190,1620,4,2
2701,225,2701,190,1620,5,2
2701,230,2701,250,1629,2,1
2701,237,2701,190,1620,6,2
2701,238,2701,253,1626,3,1
2701,251,2701,250,1629,3,1
2704,35,2704,197,1635,2,1
2704,198,2704,2,1633,1,2
2707,52,2707,31,1641,3,2
2707,53,2707,30,1639,3,2
2707,57,2707,192,1642,3,2
2707,58,2707,30,1639,4,2
2707,60,2707,7,1638,3,2
2707,61,2707,31,1641,4,2
2707,62,2707,192,1642,4,2
2707,65,2707,30,1639,5,2
2707,66,2707,192,1642,5,2
2707,69,2707,42,1645,3,1
2707,196,2707,42,1645,2,1
2708,35,2708,32,1646,3,1
2708,37,2708,32,1646,4,1
2712,33,2712,170,1647,2,1
2712,34,2712,30,1648,3,1
2712,35,2712,30,1648,4,1
2712,36,2712,172,1649,3,2
2712,37,2712,172,1649,4,2
2714,38,2714,182,1655,2,1
2714,39,2714,185,1654,3,2
2714,40,2714,33,1653,3,1
2714,41,2714,207,1651,1,2
2714,42,2714,184,1652,3,2
2714,43,2714,184,1652,4,2
2714,44,2714,194,1656,2,1
2714,45,2714,198,1650,3,2
2715,32,2715,30,1657,3,1
2715,33,2715,30,1657,4,1
2717,39,2717,173,1658,4,2
2717,40,2717,7,1659,3,2
2717,41,2717,7,1659,4,2
2722,32,2722,31,1660,4,3
2727,39,2727,30,1661,2,1
2727,42,2727,183,1662,3,2
2727,45,2727,183,1662,4,2
2730,34,2730,179,1664,3,2
2731,38,2731,31,1665,3,2
2731,39,2731,31,1665,4,2
2731,40,2731,175,1666,2,1
2738,35,2738,172,1668,3,2
2752,35,2752,30,1670,4,2
2752,36,2752,30,1670,5,2
2752,37,2752,174,1671,3,1
2752,38,2752,174,1671,4,1
2752,39,2752,174,1671,5,1
2752,40,2752,174,1671,6,1
2752,175,2752,174,1671,2,1
2753,36,2753,31,1672,3,1
2753,37,2753,33,1673,3,2
2753,38,2753,33,1673,4,2
2753,39,2753,31,1672,4,1
2753,40,2753,32,1674,3,2
2753,41,2753,31,1672,5,1
2753,42,2753,34,1675,3,2
2755,32,2755,31,1677,3,2
2755,33,2755,174,1676,3,2
2755,34,2755,31,1677,4,2
2758,30,2758,170,1678,2,1
2760,32,2760,173,1679,3,1
2770,32,2770,31,1682,3,2
2770,35,2770,31,1682,4,2
2770,36,2770,31,1682,5,2
2771,36,2771,30,1685,3,2
2771,38,2771,30,1685,4,2
2771,39,2771,30,1685,5,2
2776,33,2776,177,1687,2,1
2779,34,2779,30,1689,3,1
2780,35,2780,31,1690,3,2
2781,34,2781,32,1694,2,1
2781,35,2781,31,1691,3,2
2781,36,2781,31,1691,4,2
2781,37,2781,33,1693,2,1
2781,38,2781,31,1691,5,2
2781,39,2781,33,1693,3,1
2781,40,2781,32,1694,3,1
2786,35,2786,32,1695,5,2
2786,36,2786,32,1695,6,2
2786,37,2786,32,1695,7,2
2794,30,2794,3,1697,3,1
2794,31,2794,171,1696,2,1
2794,32,2794,171,1696,3,1
2794,33,2794,171,1696,4,1
2800,36,2800,172,1699,4,2
2800,37,2800,172,1699,5,2
2800,38,2800,35,1700,2,1
2800,41,2800,35,1700,3,1
2801,36,2801,187,1704,3,2
2801,38,2801,175,1702,2,1
2801,39,2801,187,1704,4,2
2801,40,2801,187,1704,5,2
2801,41,2801,189,1706,2,1
2801,42,2801,33,1707,3,2
2801,43,2801,33,1707,4,2
2801,44,2801,30,1703,2,1
2801,45,2801,33,1707,5,2
2801,193,2801,35,1701,4,3
